                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                  0.787,                 0.7442,                 1.2936,                0.88373,                0.73803,                0.84709,                0.63587,                0.96662,                0.82857,                 1.4677,              0.0009011,              0.0009011,              0.0009011
                    114,                0.79118,                0.73813,                 1.2913,                0.88848,                0.72319,                0.84127,                0.63597,                0.97616,                0.83689,                 1.4622,              0.0008912,              0.0008912,              0.0008912
                    115,                0.77045,                0.72524,                 1.2787,                 0.8917,                0.70406,                0.83714,                0.63227,                0.98145,                0.80382,                 1.4677,              0.0008813,              0.0008813,              0.0008813
                    116,                0.78164,                0.75173,                 1.2885,                0.87622,                0.73869,                0.83942,                0.63301,                 0.9672,                0.81761,                 1.4615,              0.0008714,              0.0008714,              0.0008714
                    117,                0.78434,                0.73291,                 1.2837,                0.86569,                0.74928,                0.84243,                0.63269,                0.98349,                0.80837,                 1.4787,              0.0008615,              0.0008615,              0.0008615
                    118,                0.76138,                0.73149,                 1.2767,                0.88503,                0.74638,                0.84692,                0.63687,                0.96124,                 0.8002,                 1.4571,              0.0008516,              0.0008516,              0.0008516
                    119,                0.76532,                0.72404,                 1.2718,                0.87361,                0.73129,                0.84463,                0.63682,                0.97615,                0.80292,                 1.4675,              0.0008417,              0.0008417,              0.0008417
                    120,                0.77471,                0.73164,                 1.2874,                0.86448,                0.73962,                0.84486,                  0.638,                0.96339,                0.81738,                 1.4674,              0.0008318,              0.0008318,              0.0008318
                    121,                0.78588,                0.72779,                 1.2876,                0.88898,                0.74273,                0.84991,                0.64124,                0.97198,                 0.7936,                 1.4627,              0.0008219,              0.0008219,              0.0008219
                    122,                0.76043,                0.72894,                 1.2689,                0.88518,                0.73768,                0.84776,                0.63541,                0.97546,                0.80054,                  1.466,               0.000812,               0.000812,               0.000812
                    123,                0.74871,                 0.7164,                 1.2563,                0.85698,                0.74684,                0.84977,                0.64317,                0.94301,                0.79459,                 1.4428,              0.0008021,              0.0008021,              0.0008021
                    124,                0.77903,                0.73325,                 1.2832,                0.88198,                0.71594,                 0.8427,                0.63582,                0.96009,                0.79145,                 1.4495,              0.0007922,              0.0007922,              0.0007922
                    125,                0.76654,                0.71603,                  1.266,                0.85571,                0.74348,                0.84618,                0.63409,                0.97594,                0.81958,                 1.4722,              0.0007823,              0.0007823,              0.0007823
                    126,                0.76864,                0.72429,                 1.2735,                0.86075,                0.76144,                0.85085,                0.63689,                0.96525,                0.80595,                 1.4632,              0.0007724,              0.0007724,              0.0007724
                    127,                0.77444,                0.71798,                   1.28,                0.87949,                0.74041,                  0.848,                0.63438,                0.96705,                0.79718,                 1.4627,              0.0007625,              0.0007625,              0.0007625
                    128,                0.76532,                0.71392,                 1.2679,                0.89447,                0.75362,                0.85204,                0.64415,                0.96268,                0.77156,                 1.4621,              0.0007526,              0.0007526,              0.0007526
                    129,                0.75165,                0.70363,                  1.266,                0.90541,                0.73913,                 0.8516,                0.64125,                0.97238,                0.80317,                 1.4548,              0.0007427,              0.0007427,              0.0007427
                    130,                0.74657,                0.69863,                 1.2633,                0.87916,                0.74928,                0.85041,                0.63882,                0.96698,                0.79258,                 1.4572,              0.0007328,              0.0007328,              0.0007328
                    131,                0.76104,                0.70691,                 1.2711,                0.88138,                0.75362,                0.85674,                0.64821,                0.95582,                0.78256,                 1.4533,              0.0007229,              0.0007229,              0.0007229
                    132,                0.74903,                0.67671,                 1.2566,                0.87179,                0.75882,                0.85428,                0.64552,                0.96172,                 0.7934,                 1.4535,               0.000713,               0.000713,               0.000713
                    133,                0.75515,                0.68569,                 1.2665,                0.88382,                0.76667,                0.85665,                0.64836,                0.96826,                0.78191,                  1.461,              0.0007031,              0.0007031,              0.0007031
                    134,                0.74485,                0.68485,                 1.2611,                0.88136,                0.75366,                0.85701,                0.64751,                0.96185,                0.79341,                 1.4606,              0.0006932,              0.0006932,              0.0006932
                    135,                0.76042,                0.69534,                 1.2645,                0.90626,                0.74493,                0.85834,                0.64772,                0.95299,                0.78538,                 1.4462,              0.0006833,              0.0006833,              0.0006833
                    136,                0.72751,                0.67066,                 1.2449,                0.87815,                0.75199,                 0.8589,                0.64822,                0.95569,                0.78632,                 1.4604,              0.0006734,              0.0006734,              0.0006734
                    137,                0.73754,                0.68227,                 1.2575,                0.90472,                0.74493,                0.86333,                0.65163,                0.96012,                0.76068,                 1.4624,              0.0006635,              0.0006635,              0.0006635
                    138,                0.74598,                0.67726,                 1.2583,                0.89276,                0.75072,                0.86145,                0.65413,                0.94947,                0.76017,                 1.4471,              0.0006536,              0.0006536,              0.0006536
                    139,                0.73414,                0.68625,                 1.2517,                0.90326,                0.73074,                0.85716,                0.64594,                0.95995,                0.77434,                 1.4548,              0.0006437,              0.0006437,              0.0006437
                    140,                0.75067,                0.67915,                 1.2602,                0.88873,                0.75362,                 0.8567,                 0.6464,                0.96223,                0.76903,                 1.4648,              0.0006338,              0.0006338,              0.0006338
                    141,                0.74709,                0.69158,                 1.2531,                0.88457,                0.75507,                0.85428,                0.64669,                0.95231,                0.78034,                 1.4483,              0.0006239,              0.0006239,              0.0006239
                    142,                0.73989,                0.67556,                  1.251,                0.87382,                0.75217,                0.85602,                 0.6454,                0.95312,                0.78345,                 1.4436,               0.000614,               0.000614,               0.000614
                    143,                0.74031,                0.67316,                  1.248,                0.87303,                0.74738,                0.85542,                0.64927,                0.96623,                0.77984,                 1.4524,              0.0006041,              0.0006041,              0.0006041
                    144,                0.73636,                 0.6694,                  1.253,                 0.8918,                0.75252,                0.86252,                0.65305,                0.95548,                0.76713,                 1.4434,              0.0005942,              0.0005942,              0.0005942
                    145,                0.72331,                0.66336,                 1.2399,                0.87418,                0.76522,                0.85498,                0.64594,                0.96947,                0.79372,                 1.4677,              0.0005843,              0.0005843,              0.0005843
                    146,                0.72459,                 0.6638,                 1.2344,                0.88091,                0.76667,                0.85821,                0.64852,                0.96596,                0.77435,                 1.4586,              0.0005744,              0.0005744,              0.0005744
                    147,                0.73552,                0.67106,                 1.2485,                0.89294,                0.74943,                0.85641,                0.64544,                0.96677,                0.77365,                 1.4615,              0.0005645,              0.0005645,              0.0005645
                    148,                0.73047,                0.66982,                 1.2473,                0.87872,                0.75797,                0.85335,                0.64203,                0.97028,                0.77822,                 1.4587,              0.0005546,              0.0005546,              0.0005546
                    149,                0.71797,                0.65597,                 1.2351,                 0.8984,                0.75611,                0.85362,                0.64506,                0.95909,                0.77233,                 1.4551,              0.0005447,              0.0005447,              0.0005447
